Date,GenusCoral,MorphoCoral,mDcoral,Depth,NumComp,GenusComp,MorphoComp,mDcomp,InvolvedPerim,HdiffComp-Coral,netOvergrowth,netOverreach
2013-04-18,Pocillopora,Br,9.8,4.2,1,Montipora,En,17.5,10.5,-5.7,0,0.5
2013-04-18,Pocillopora,Br,9.8,4.2,2,Montipora,En,3.8,1.8,-5.5,0,0.7
2013-04-18,Acropora,Br,18.33333333,4.3,1,Pocillopora,Br,17.23333333,10,-1,0,-1.6
2013-04-18,Acropora,Br,14.93333333,3.8,1,Favia,Ma,10.23333333,9,-7.7,0.9,-0.8
2013-04-18,Acropora,Br,14.93333333,3.8,2,Montipora,En,8,2.5,-5.5,-1.8,-0.5
2013-04-18,Favia,Ma,6.666666667,3.8,1,Montipora,En,8,4.3,4.3,-2.2,-0.6
2013-04-18,Favia,Ma,6.666666667,3.8,2,Polycarpa,Ma,6.466666667,4.3,-1.3,-1,0
2013-04-18,Montipora,En,35.66666667,4.2,1,Galaxea,Ma,10.5,26,-10.7,0,-2.4
2013-04-18,Montipora,En,35.66666667,4.2,2,Pocillopora,Br,17.26666667,34,4.7,0,-0.5
2013-04-18,Montipora,En,18.56666667,4.1,1,Montastrea,Ma,7.366666667,13.5,0,0,-2
2013-04-18,Montipora,En,18.56666667,4.1,2,Montipora,En,21.9,5.5,-4,1,0.8
2013-04-18,Montipora,En,18.56666667,4.1,3,Pocillopora,Br,2.666666667,1.7,-0.2,0,-0.5
2013-04-18,Pocillopora,Br,25.83333333,3.6,1,Acropora,Tab,35.13333333,10.5,-1.6,0,1.9
2013-04-18,Pocillopora,Br,25.83333333,3.6,2,Montipora,En,38.7,37,-1.6,-2.2,0.1
2013-04-18,Acropora,Br,10.83333333,3.7,1,Montipora,En,38.6,10.2,3.3,0,1.4
2013-04-18,Acropora,Br,10.83333333,3.7,2,Pocillopora,Br,6.033333333,3,-10.4,0,-0.5
2013-04-18,Pocillopora,Br,8.266666667,3.7,1,Acropora,Br,23.6,2.7,9.7,0,0.6
2013-04-18,Acropora,Br,37.03333333,3.2,1,Montipora,En,28.96666667,6.8,-0.5,1.2,0.2
2013-04-18,Acropora,Br,37.03333333,3.2,2,Pocillopora,Br,2.566666667,3.4,-7.3,0,-0.1
2013-04-18,Acropora,Br,37.03333333,3.2,3,Montipora,En,11.5,9,-6.7,0.6,0.5
2013-04-18,Acropora,Br,37.03333333,3.2,4,Montipora,En,6.433333333,12.4,-8.2,-1.5,-0.5
